x2_1,y2_1,x2_2,y2_2,x2_3,y2_3,x2_4,y2_4,x2_5,y2_5,img_paths
91,130,130,112,96,46,61,57,18,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_2.png
84,128,141,110,120,48,61,54,52,109,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_3.png
95,138,134,105,125,25,59,47,22,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_4.png
78,141,132,94,117,58,46,43,55,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_5.png
83,146,149,113,127,29,50,34,42,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_6.png
83,143,140,108,123,34,53,47,40,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_7.png
99,122,118,103,122,41,64,62,45,99,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_8.png
91,158,168,118,126,33,46,44,8,117,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_9.png
80,125,119,84,107,67,45,47,62,104,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_10.png
86,155,150,111,139,26,56,52,22,113,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_11.png
96,164,151,114,137,10,53,56,23,100,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_12.png
80,141,141,110,121,36,58,63,38,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_13.png
91,133,128,118,110,44,58,55,31,118,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_14.png
86,155,158,105,126,46,49,46,20,111,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_15.png
88,161,157,107,122,52,40,23,31,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_16.png
88,153,133,105,122,29,50,56,47,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_17.png
82,137,157,99,118,57,40,22,47,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_18.png
95,160,152,103,122,48,44,32,26,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_19.png
99,132,126,109,120,26,71,73,58,91,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_20.png
104,164,159,104,124,41,31,27,28,120,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_21.png
95,147,130,107,127,36,50,39,40,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_22.png
86,136,135,92,111,64,59,40,44,107,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_23.png
107,140,127,103,137,19,60,61,44,96,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_24.png
93,135,131,111,115,36,66,62,33,99,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_25.png
100,122,118,104,132,24,63,61,33,100,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_26.png
79,123,135,115,102,53,63,52,49,110,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_27.png
97,128,125,105,123,35,66,65,38,97,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_28.png
79,133,126,90,109,67,42,28,56,105,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_29.png
84,133,149,94,111,59,60,37,44,108,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_30.png
90,129,142,112,112,50,64,57,42,116,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_31.png
90,116,131,117,100,62,73,61,45,115,C:/Users/Hampi/Desktop/portal_co/images_2_rs\img_32.png
